"country","date","deaths","schools_universities","self_isolating_if_ill","public_events","lockdown","social_distancing_encouraged","pop"
"Austria",2020-04-16,9,1,1,1,1,1,9006400
"Austria",2020-04-17,17,1,1,1,1,1,9006400
"Austria",2020-04-18,21,1,1,1,1,1,9006400
"Austria",2020-04-19,12,1,1,1,1,1,9006400
"Austria",2020-04-20,9,1,1,1,1,1,9006400
"Austria",2020-04-21,10,1,1,1,1,1,9006400
"Austria",2020-04-22,1,1,1,1,1,1,9006400
"Austria",2020-04-23,31,1,1,1,1,1,9006400
"Austria",2020-04-24,14,1,1,1,1,1,9006400
"Austria",2020-04-25,5,1,1,1,1,1,9006400
"Austria",2020-04-26,23,1,1,1,1,1,9006400
"Austria",2020-04-27,6,1,1,1,1,1,9006400
"Austria",2020-04-28,7,1,1,1,1,1,9006400
"Austria",2020-04-29,20,1,1,1,1,1,9006400
"Austria",2020-04-30,11,1,1,1,1,1,9006400
"Austria",2020-05-01,4,1,1,1,1,1,9006400
"Austria",2020-05-02,5,1,1,1,1,1,9006400
"Austria",2020-05-03,7,1,1,1,1,1,9006400
"Austria",2020-05-04,2,1,1,1,1,1,9006400
"Austria",2020-05-05,2,1,1,1,1,1,9006400
"Belgium",2020-02-18,0,0,0,0,0,0,11589616
"Belgium",2020-02-19,0,0,0,0,0,0,11589616
"Belgium",2020-02-20,0,0,0,0,0,0,11589616
"Belgium",2020-02-21,0,0,0,0,0,0,11589616
"Belgium",2020-02-22,0,0,0,0,0,0,11589616
"Belgium",2020-02-23,0,0,0,0,0,0,11589616
"Belgium",2020-02-24,0,0,0,0,0,0,11589616
"Belgium",2020-02-25,0,0,0,0,0,0,11589616
"Belgium",2020-02-26,0,0,0,0,0,0,11589616
"Belgium",2020-02-27,0,0,0,0,0,0,11589616
"Belgium",2020-02-28,0,0,0,0,0,0,11589616
"Belgium",2020-02-29,0,0,0,0,0,0,11589616
"Belgium",2020-03-01,0,0,0,0,0,0,11589616
"Belgium",2020-03-02,0,0,0,0,0,0,11589616
"Belgium",2020-03-03,0,0,0,0,0,0,11589616
"Belgium",2020-03-04,0,0,0,0,0,0,11589616
"Belgium",2020-03-05,0,0,0,0,0,0,11589616
"Belgium",2020-03-06,0,0,0,0,0,0,11589616
"Belgium",2020-03-07,0,0,0,0,0,0,11589616
"Belgium",2020-03-08,0,0,0,0,0,0,11589616
"Belgium",2020-03-09,0,0,0,0,0,0,11589616
"Belgium",2020-03-10,0,0,1,0,0,0,11589616
"Belgium",2020-03-11,0,0,1,0,0,0,11589616
"Belgium",2020-03-12,3,0,1,1,0,0,11589616
"Belgium",2020-03-13,0,0,1,1,0,0,11589616
"Belgium",2020-03-14,0,1,1,1,0,1,11589616
"Belgium",2020-03-15,1,1,1,1,0,1,11589616
"Belgium",2020-03-16,0,1,1,1,0,1,11589616
"Belgium",2020-03-17,1,1,1,1,0,1,11589616
"Belgium",2020-03-18,0,1,1,1,1,1,11589616
"Belgium",2020-03-19,9,1,1,1,1,1,11589616
"Belgium",2020-03-20,7,1,1,1,1,1,11589616
"Belgium",2020-03-21,16,1,1,1,1,1,11589616
"Belgium",2020-03-22,30,1,1,1,1,1,11589616
"Belgium",2020-03-23,8,1,1,1,1,1,11589616
"Belgium",2020-03-24,13,1,1,1,1,1,11589616
"Belgium",2020-03-25,34,1,1,1,1,1,11589616
"Belgium",2020-03-26,56,1,1,1,1,1,11589616
"Belgium",2020-03-27,42,1,1,1,1,1,11589616
"Belgium",2020-03-28,69,1,1,1,1,1,11589616
"Belgium",2020-03-29,64,1,1,1,1,1,11589616
"Belgium",2020-03-30,78,1,1,1,1,1,11589616
"Belgium",2020-03-31,82,1,1,1,1,1,11589616
"Belgium",2020-04-01,192,1,1,1,1,1,11589616
"Belgium",2020-04-02,123,1,1,1,1,1,11589616
"Belgium",2020-04-03,183,1,1,1,1,1,11589616
"Belgium",2020-04-04,132,1,1,1,1,1,11589616
"Belgium",2020-04-05,140,1,1,1,1,1,11589616
"Belgium",2020-04-06,164,1,1,1,1,1,11589616
"Belgium",2020-04-07,185,1,1,1,1,1,11589616
"Belgium",2020-04-08,403,1,1,1,1,1,11589616
"Belgium",2020-04-09,205,1,1,1,1,1,11589616
"Belgium",2020-04-10,283,1,1,1,1,1,11589616
"Belgium",2020-04-11,496,1,1,1,1,1,11589616
"Belgium",2020-04-12,327,1,1,1,1,1,11589616
"Belgium",2020-04-13,254,1,1,1,1,1,11589616
"Belgium",2020-04-14,303,1,1,1,1,1,11589616
"Belgium",2020-04-15,254,1,1,1,1,1,11589616
"Belgium",2020-04-16,283,1,1,1,1,1,11589616
"Belgium",2020-04-17,417,1,1,1,1,1,11589616
"Belgium",2020-04-18,306,1,1,1,1,1,11589616
"Belgium",2020-04-19,290,1,1,1,1,1,11589616
"Belgium",2020-04-20,230,1,1,1,1,1,11589616
"Belgium",2020-04-21,145,1,1,1,1,1,11589616
"Belgium",2020-04-22,170,1,1,1,1,1,11589616
"Belgium",2020-04-23,264,1,1,1,1,1,11589616
"Belgium",2020-04-24,228,1,1,1,1,1,11589616
"Belgium",2020-04-25,189,1,1,1,1,1,11589616
"Belgium",2020-04-26,238,1,1,1,1,1,11589616
"Belgium",2020-04-27,177,1,1,1,1,1,11589616
"Belgium",2020-04-28,113,1,1,1,1,1,11589616
"Belgium",2020-04-29,124,1,1,1,1,1,11589616
"Belgium",2020-04-30,170,1,1,1,1,1,11589616
"Belgium",2020-05-01,93,1,1,1,1,1,11589616
"Belgium",2020-05-02,109,1,1,1,1,1,11589616
"Belgium",2020-05-03,62,1,1,1,1,1,11589616
"Belgium",2020-05-04,79,1,1,1,1,1,11589616
"Belgium",2020-05-05,80,1,1,1,1,1,11589616
"Denmark",2020-02-21,0,0,0,0,0,0,5792203
"Denmark",2020-02-22,0,0,0,0,0,0,5792203
"Denmark",2020-02-23,0,0,0,0,0,0,5792203
"Denmark",2020-02-24,0,0,0,0,0,0,5792203
"Denmark",2020-02-25,0,0,0,0,0,0,5792203
"Denmark",2020-02-26,0,0,0,0,0,0,5792203
"Denmark",2020-02-27,0,0,0,0,0,0,5792203
"Denmark",2020-02-28,0,0,0,0,0,0,5792203
"Denmark",2020-02-29,0,0,0,0,0,0,5792203
"Denmark",2020-03-01,0,0,0,0,0,0,5792203
"Denmark",2020-03-02,0,0,0,0,0,0,5792203
"Denmark",2020-03-03,0,0,0,0,0,0,5792203
"Denmark",2020-03-04,0,0,0,0,0,0,5792203
"Denmark",2020-03-05,0,0,0,0,0,0,5792203
"Denmark",2020-03-06,0,0,0,0,0,0,5792203
"Denmark",2020-03-07,0,0,0,0,0,0,5792203
"Denmark",2020-03-08,0,0,0,0,0,0,5792203
"Denmark",2020-03-09,0,0,0,0,0,0,5792203
"Denmark",2020-03-10,0,0,0,0,0,0,5792203
"Denmark",2020-03-11,0,0,0,0,0,0,5792203
"Denmark",2020-03-12,0,0,1,1,0,0,5792203
"Denmark",2020-03-13,0,1,1,1,0,1,5792203
"Denmark",2020-03-14,0,1,1,1,0,1,5792203
"Denmark",2020-03-15,0,1,1,1,0,1,5792203
"Denmark",2020-03-16,1,1,1,1,0,1,5792203
"Denmark",2020-03-17,0,1,1,1,0,1,5792203
"Denmark",2020-03-18,3,1,1,1,1,1,5792203
"Denmark",2020-03-19,0,1,1,1,1,1,5792203
"Denmark",2020-03-20,2,1,1,1,1,1,5792203
"Denmark",2020-03-21,3,1,1,1,1,1,5792203
"Denmark",2020-03-22,4,1,1,1,1,1,5792203
"Denmark",2020-03-23,0,1,1,1,1,1,5792203
"Denmark",2020-03-24,11,1,1,1,1,1,5792203
"Denmark",2020-03-25,8,1,1,1,1,1,5792203
"Denmark",2020-03-26,2,1,1,1,1,1,5792203
"Denmark",2020-03-27,7,1,1,1,1,1,5792203
"Denmark",2020-03-28,11,1,1,1,1,1,5792203
"Denmark",2020-03-29,13,1,1,1,1,1,5792203
"Denmark",2020-03-30,7,1,1,1,1,1,5792203
"Denmark",2020-03-31,5,1,1,1,1,1,5792203
"Denmark",2020-04-01,13,1,1,1,1,1,5792203
"Denmark",2020-04-02,14,1,1,1,1,1,5792203
"Denmark",2020-04-03,19,1,1,1,1,1,5792203
"Denmark",2020-04-04,16,1,1,1,1,1,5792203
"Denmark",2020-04-05,22,1,1,1,1,1,5792203
"Denmark",2020-04-06,18,1,1,1,1,1,5792203
"Denmark",2020-04-07,8,1,1,1,1,1,5792203
"Denmark",2020-04-08,16,1,1,1,1,1,5792203
"Denmark",2020-04-09,15,1,1,1,1,1,5792203
"Denmark",2020-04-10,19,1,1,1,1,1,5792203
"Denmark",2020-04-11,10,1,1,1,1,1,5792203
"Denmark",2020-04-12,13,1,1,1,1,1,5792203
"Denmark",2020-04-13,13,1,1,1,1,1,5792203
"Denmark",2020-04-14,12,1,1,1,1,1,5792203
"Denmark",2020-04-15,14,1,1,1,1,1,5792203
"Denmark",2020-04-16,10,1,1,1,1,1,5792203
"Denmark",2020-04-17,12,1,1,1,1,1,5792203
"Denmark",2020-04-18,15,1,1,1,1,1,5792203
"Denmark",2020-04-19,10,1,1,1,1,1,5792203
"Denmark",2020-04-20,9,1,1,1,1,1,5792203
"Denmark",2020-04-21,9,1,1,1,1,1,5792203
"Denmark",2020-04-22,6,1,1,1,1,1,5792203
"Denmark",2020-04-23,14,1,1,1,1,1,5792203
"Denmark",2020-04-24,10,1,1,1,1,1,5792203
"Denmark",2020-04-25,9,1,1,1,1,1,5792203
"Denmark",2020-04-26,15,1,1,1,1,1,5792203
"Denmark",2020-04-27,4,1,1,1,1,1,5792203
"Denmark",2020-04-28,5,1,1,1,1,1,5792203
"Denmark",2020-04-29,7,1,1,1,1,1,5792203
"Denmark",2020-04-30,9,1,1,1,1,1,5792203
"Denmark",2020-05-01,9,1,1,1,1,1,5792203
"Denmark",2020-05-02,10,1,1,1,1,1,5792203
"Denmark",2020-05-03,11,1,1,1,1,1,5792203
"Denmark",2020-05-04,8,1,1,1,1,1,5792203
"Denmark",2020-05-05,9,1,1,1,1,1,5792203
"France",2020-02-07,0,0,0,0,0,0,65273512
"France",2020-02-08,0,0,0,0,0,0,65273512
"France",2020-02-09,0,0,0,0,0,0,65273512
"France",2020-02-10,0,0,0,0,0,0,65273512
"France",2020-02-11,0,0,0,0,0,0,65273512
"France",2020-02-12,0,0,0,0,0,0,65273512
"France",2020-02-13,0,0,0,0,0,0,65273512
"France",2020-02-14,0,0,0,0,0,0,65273512
"France",2020-02-15,1,0,0,0,0,0,65273512
"France",2020-02-16,0,0,0,0,0,0,65273512
"France",2020-02-17,0,0,0,0,0,0,65273512
"France",2020-02-18,0,0,0,0,0,0,65273512
"France",2020-02-19,0,0,0,0,0,0,65273512
"France",2020-02-20,0,0,0,0,0,0,65273512
"France",2020-02-21,0,0,0,0,0,0,65273512
"France",2020-02-22,0,0,0,0,0,0,65273512
"France",2020-02-23,0,0,0,0,0,0,65273512
"France",2020-02-24,0,0,0,0,0,0,65273512
"France",2020-02-25,0,0,0,0,0,0,65273512
"France",2020-02-26,0,0,0,0,0,0,65273512
"France",2020-02-27,1,0,0,0,0,0,65273512
"France",2020-02-28,0,0,0,0,0,0,65273512
"France",2020-02-29,0,0,0,0,0,0,65273512
"France",2020-03-01,0,0,0,0,0,0,65273512
"France",2020-03-02,0,0,0,0,0,0,65273512
"France",2020-03-03,1,0,0,0,0,0,65273512
"France",2020-03-04,1,0,0,0,0,0,65273512
"France",2020-03-05,0,0,0,0,0,0,65273512
"France",2020-03-06,3,0,0,0,0,0,65273512
"France",2020-03-07,2,0,0,0,0,0,65273512
"France",2020-03-08,1,0,0,0,0,0,65273512
"France",2020-03-09,9,0,0,0,0,0,65273512
"France",2020-03-10,11,0,0,0,0,0,65273512
"France",2020-03-11,3,0,0,0,0,0,65273512
"France",2020-03-12,15,0,0,0,0,0,65273512
"France",2020-03-13,13,0,0,1,0,0,65273512
"France",2020-03-14,18,1,0,1,0,0,65273512
"France",2020-03-15,12,1,0,1,0,0,65273512
"France",2020-03-16,36,1,1,1,0,1,65273512
"France",2020-03-17,21,1,1,1,1,1,65273512
"France",2020-03-18,27,1,1,1,1,1,65273512
"France",2020-03-19,69,1,1,1,1,1,65273512
"France",2020-03-20,128,1,1,1,1,1,65273512
"France",2020-03-21,78,1,1,1,1,1,65273512
"France",2020-03-22,112,1,1,1,1,1,65273512
"France",2020-03-23,112,1,1,1,1,1,65273512
"France",2020-03-24,186,1,1,1,1,1,65273512
"France",2020-03-25,240,1,1,1,1,1,65273512
"France",2020-03-26,231,1,1,1,1,1,65273512
"France",2020-03-27,365,1,1,1,1,1,65273512
"France",2020-03-28,299,1,1,1,1,1,65273512
"France",2020-03-29,319,1,1,1,1,1,65273512
"France",2020-03-30,292,1,1,1,1,1,65273512
"France",2020-03-31,418,1,1,1,1,1,65273512
"France",2020-04-01,499,1,1,1,1,1,65273512
"France",2020-04-02,509,1,1,1,1,1,65273512
"France",2020-04-03,471,1,1,1,1,1,65273512
"France",2020-04-04,2004,1,1,1,1,1,65273512
"France",2020-04-05,1053,1,1,1,1,1,65273512
"France",2020-04-06,518,1,1,1,1,1,65273512
"France",2020-04-07,833,1,1,1,1,1,65273512
"France",2020-04-08,1417,1,1,1,1,1,65273512
"France",2020-04-09,541,1,1,1,1,1,65273512
"France",2020-04-10,1341,1,1,1,1,1,65273512
"France",2020-04-11,987,1,1,1,1,1,65273512
"France",2020-04-12,635,1,1,1,1,1,65273512
"France",2020-04-13,561,1,1,1,1,1,65273512
"France",2020-04-14,574,1,1,1,1,1,65273512
"France",2020-04-15,762,1,1,1,1,1,65273512
"France",2020-04-16,1438,1,1,1,1,1,65273512
"France",2020-04-17,753,1,1,1,1,1,65273512
"France",2020-04-18,761,1,1,1,1,1,65273512
"France",2020-04-19,642,1,1,1,1,1,65273512
"France",2020-04-20,395,1,1,1,1,1,65273512
"France",2020-04-21,547,1,1,1,1,1,65273512
"France",2020-04-22,531,1,1,1,1,1,65273512
"France",2020-04-23,544,1,1,1,1,1,65273512
"France",2020-04-24,516,1,1,1,1,1,65273512
"France",2020-04-25,389,1,1,1,1,1,65273512
"France",2020-04-26,369,1,1,1,1,1,65273512
"France",2020-04-27,242,1,1,1,1,1,65273512
"France",2020-04-28,437,1,1,1,1,1,65273512
"France",2020-04-29,367,1,1,1,1,1,65273512
"France",2020-04-30,427,1,1,1,1,1,65273512
"France",2020-05-01,289,1,1,1,1,1,65273512
"France",2020-05-02,218,1,1,1,1,1,65273512
"France",2020-05-03,166,1,1,1,1,1,65273512
"France",2020-05-04,135,1,1,1,1,1,65273512
"France",2020-05-05,306,1,1,1,1,1,65273512
"Germany",2020-02-15,0,0,0,0,0,0,83783945
"Germany",2020-02-16,0,0,0,0,0,0,83783945
"Germany",2020-02-17,0,0,0,0,0,0,83783945
"Germany",2020-02-18,0,0,0,0,0,0,83783945
"Germany",2020-02-19,0,0,0,0,0,0,83783945
"Germany",2020-02-20,0,0,0,0,0,0,83783945
"Germany",2020-02-21,0,0,0,0,0,0,83783945
"Germany",2020-02-22,0,0,0,0,0,0,83783945
"Germany",2020-02-23,0,0,0,0,0,0,83783945
"Germany",2020-02-24,0,0,0,0,0,0,83783945
"Germany",2020-02-25,0,0,0,0,0,0,83783945
"Germany",2020-02-26,0,0,0,0,0,0,83783945
"Germany",2020-02-27,0,0,0,0,0,0,83783945
"Germany",2020-02-28,0,0,0,0,0,0,83783945
"Germany",2020-02-29,0,0,0,0,0,0,83783945
"Germany",2020-03-01,0,0,0,0,0,0,83783945
"Germany",2020-03-02,0,0,0,0,0,0,83783945
"Germany",2020-03-03,0,0,0,0,0,0,83783945
"Germany",2020-03-04,0,0,0,0,0,0,83783945
"Germany",2020-03-05,0,0,0,0,0,0,83783945
"Germany",2020-03-06,0,0,1,0,0,0,83783945
"Germany",2020-03-07,0,0,1,0,0,0,83783945
"Germany",2020-03-08,0,0,1,0,0,0,83783945
"Germany",2020-03-09,0,0,1,0,0,0,83783945
"Germany",2020-03-10,2,0,1,0,0,0,83783945
"Germany",2020-03-11,0,0,1,0,0,0,83783945
"Germany",2020-03-12,1,0,1,0,0,1,83783945
"Germany",2020-03-13,2,0,1,0,0,1,83783945
"Germany",2020-03-14,0,1,1,0,0,1,83783945
"Germany",2020-03-15,3,1,1,0,0,1,83783945
"Germany",2020-03-16,4,1,1,0,0,1,83783945
"Germany",2020-03-17,1,1,1,0,0,1,83783945
"Germany",2020-03-18,0,1,1,0,0,1,83783945
"Germany",2020-03-19,0,1,1,0,0,1,83783945
"Germany",2020-03-20,30,1,1,0,0,1,83783945
"Germany",2020-03-21,2,1,1,0,0,1,83783945
"Germany",2020-03-22,22,1,1,1,1,1,83783945
"Germany",2020-03-23,27,1,1,1,1,1,83783945
"Germany",2020-03-24,32,1,1,1,1,1,83783945
"Germany",2020-03-25,23,1,1,1,1,1,83783945
"Germany",2020-03-26,49,1,1,1,1,1,83783945
"Germany",2020-03-27,55,1,1,1,1,1,83783945
"Germany",2020-03-28,72,1,1,1,1,1,83783945
"Germany",2020-03-29,64,1,1,1,1,1,83783945
"Germany",2020-03-30,66,1,1,1,1,1,83783945
"Germany",2020-03-31,128,1,1,1,1,1,83783945
"Germany",2020-04-01,149,1,1,1,1,1,83783945
"Germany",2020-04-02,140,1,1,1,1,1,83783945
"Germany",2020-04-03,145,1,1,1,1,1,83783945
"Germany",2020-04-04,141,1,1,1,1,1,83783945
"Germany",2020-04-05,184,1,1,1,1,1,83783945
"Germany",2020-04-06,92,1,1,1,1,1,83783945
"Germany",2020-04-07,173,1,1,1,1,1,83783945
"Germany",2020-04-08,254,1,1,1,1,1,83783945
"Germany",2020-04-09,246,1,1,1,1,1,83783945
"Germany",2020-04-10,266,1,1,1,1,1,83783945
"Germany",2020-04-11,171,1,1,1,1,1,83783945
"Germany",2020-04-12,129,1,1,1,1,1,83783945
"Germany",2020-04-13,126,1,1,1,1,1,83783945
"Germany",2020-04-14,170,1,1,1,1,1,83783945
"Germany",2020-04-15,285,1,1,1,1,1,83783945
"Germany",2020-04-16,315,1,1,1,1,1,83783945
"Germany",2020-04-17,299,1,1,1,1,1,83783945
"Germany",2020-04-18,242,1,1,1,1,1,83783945
"Germany",2020-04-19,184,1,1,1,1,1,83783945
"Germany",2020-04-20,110,1,1,1,1,1,83783945
"Germany",2020-04-21,194,1,1,1,1,1,83783945
"Germany",2020-04-22,281,1,1,1,1,1,83783945
"Germany",2020-04-23,215,1,1,1,1,1,83783945
"Germany",2020-04-24,227,1,1,1,1,1,83783945
"Germany",2020-04-25,179,1,1,1,1,1,83783945
"Germany",2020-04-26,140,1,1,1,1,1,83783945
"Germany",2020-04-27,110,1,1,1,1,1,83783945
"Germany",2020-04-28,163,1,1,1,1,1,83783945
"Germany",2020-04-29,202,1,1,1,1,1,83783945
"Germany",2020-04-30,173,1,1,1,1,1,83783945
"Germany",2020-05-01,0,1,1,1,1,1,83783945
"Germany",2020-05-02,287,1,1,1,1,1,83783945
"Germany",2020-05-03,74,1,1,1,1,1,83783945
"Germany",2020-05-04,43,1,1,1,1,1,83783945
"Germany",2020-05-05,139,1,1,1,1,1,83783945
"Italy",2020-01-27,0,0,0,0,0,0,60461828
"Italy",2020-01-28,0,0,0,0,0,0,60461828
"Italy",2020-01-29,0,0,0,0,0,0,60461828
"Italy",2020-01-30,0,0,0,0,0,0,60461828
"Italy",2020-01-31,0,0,0,0,0,0,60461828
"Italy",2020-02-01,0,0,0,0,0,0,60461828
"Italy",2020-02-02,0,0,0,0,0,0,60461828
"Italy",2020-02-03,0,0,0,0,0,0,60461828
"Italy",2020-02-04,0,0,0,0,0,0,60461828
"Italy",2020-02-05,0,0,0,0,0,0,60461828
"Italy",2020-02-06,0,0,0,0,0,0,60461828
"Italy",2020-02-07,0,0,0,0,0,0,60461828
"Italy",2020-02-08,0,0,0,0,0,0,60461828
"Italy",2020-02-09,0,0,0,0,0,0,60461828
"Italy",2020-02-10,0,0,0,0,0,0,60461828
"Italy",2020-02-11,0,0,0,0,0,0,60461828
"Italy",2020-02-12,0,0,0,0,0,0,60461828
"Italy",2020-02-13,0,0,0,0,0,0,60461828
"Italy",2020-02-14,0,0,0,0,0,0,60461828
"Italy",2020-02-15,0,0,0,0,0,0,60461828
"Italy",2020-02-16,0,0,0,0,0,0,60461828
"Italy",2020-02-17,0,0,0,0,0,0,60461828
"Italy",2020-02-18,0,0,0,0,0,0,60461828
"Italy",2020-02-19,0,0,0,0,0,0,60461828
"Italy",2020-02-20,0,0,0,0,0,0,60461828
"Italy",2020-02-21,0,0,0,0,0,0,60461828
"Italy",2020-02-22,0,0,0,0,0,0,60461828
"Italy",2020-02-23,2,0,0,0,0,0,60461828
"Italy",2020-02-24,0,0,0,0,0,0,60461828
"Italy",2020-02-25,4,0,0,0,0,0,60461828
"Italy",2020-02-26,5,0,0,0,0,0,60461828
"Italy",2020-02-27,1,0,0,0,0,0,60461828
"Italy",2020-02-28,5,0,0,0,0,0,60461828
"Italy",2020-02-29,4,0,0,0,0,0,60461828
"Italy",2020-03-01,8,0,0,0,0,0,60461828
"Italy",2020-03-02,6,0,0,0,0,0,60461828
"Italy",2020-03-03,17,0,0,0,0,0,60461828
"Italy",2020-03-04,28,0,0,0,0,0,60461828
"Italy",2020-03-05,27,1,0,0,0,0,60461828
"Italy",2020-03-06,41,1,0,0,0,0,60461828
"Italy",2020-03-07,49,1,0,0,0,0,60461828
"Italy",2020-03-08,36,1,0,0,0,0,60461828
"Italy",2020-03-09,133,1,1,1,0,1,60461828
"Italy",2020-03-10,98,1,1,1,0,1,60461828
"Italy",2020-03-11,167,1,1,1,1,1,60461828
"Italy",2020-03-12,196,1,1,1,1,1,60461828
"Italy",2020-03-13,189,1,1,1,1,1,60461828
"Italy",2020-03-14,252,1,1,1,1,1,60461828
"Italy",2020-03-15,173,1,1,1,1,1,60461828
"Italy",2020-03-16,370,1,1,1,1,1,60461828
"Italy",2020-03-17,347,1,1,1,1,1,60461828
"Italy",2020-03-18,347,1,1,1,1,1,60461828
"Italy",2020-03-19,473,1,1,1,1,1,60461828
"Italy",2020-03-20,429,1,1,1,1,1,60461828
"Italy",2020-03-21,625,1,1,1,1,1,60461828
"Italy",2020-03-22,795,1,1,1,1,1,60461828
"Italy",2020-03-23,649,1,1,1,1,1,60461828
"Italy",2020-03-24,601,1,1,1,1,1,60461828
"Italy",2020-03-25,743,1,1,1,1,1,60461828
"Italy",2020-03-26,685,1,1,1,1,1,60461828
"Italy",2020-03-27,660,1,1,1,1,1,60461828
"Italy",2020-03-28,971,1,1,1,1,1,60461828
"Italy",2020-03-29,887,1,1,1,1,1,60461828
"Italy",2020-03-30,758,1,1,1,1,1,60461828
"Italy",2020-03-31,810,1,1,1,1,1,60461828
"Italy",2020-04-01,839,1,1,1,1,1,60461828
"Italy",2020-04-02,727,1,1,1,1,1,60461828
"Italy",2020-04-03,760,1,1,1,1,1,60461828
"Italy",2020-04-04,764,1,1,1,1,1,60461828
"Italy",2020-04-05,681,1,1,1,1,1,60461828
"Italy",2020-04-06,527,1,1,1,1,1,60461828
"Italy",2020-04-07,636,1,1,1,1,1,60461828
"Italy",2020-04-08,604,1,1,1,1,1,60461828
"Italy",2020-04-09,540,1,1,1,1,1,60461828
"Italy",2020-04-10,612,1,1,1,1,1,60461828
"Italy",2020-04-11,570,1,1,1,1,1,60461828
"Italy",2020-04-12,619,1,1,1,1,1,60461828
"Italy",2020-04-13,431,1,1,1,1,1,60461828
"Italy",2020-04-14,564,1,1,1,1,1,60461828
"Italy",2020-04-15,604,1,1,1,1,1,60461828
"Italy",2020-04-16,578,1,1,1,1,1,60461828
"Italy",2020-04-17,525,1,1,1,1,1,60461828
"Italy",2020-04-18,575,1,1,1,1,1,60461828
"Italy",2020-04-19,480,1,1,1,1,1,60461828
"Italy",2020-04-20,433,1,1,1,1,1,60461828
"Italy",2020-04-21,454,1,1,1,1,1,60461828
"Italy",2020-04-22,534,1,1,1,1,1,60461828
"Italy",2020-04-23,437,1,1,1,1,1,60461828
"Italy",2020-04-24,464,1,1,1,1,1,60461828
"Italy",2020-04-25,420,1,1,1,1,1,60461828
"Italy",2020-04-26,415,1,1,1,1,1,60461828
"Italy",2020-04-27,260,1,1,1,1,1,60461828
"Italy",2020-04-28,333,1,1,1,1,1,60461828
"Italy",2020-04-29,382,1,1,1,1,1,60461828
"Italy",2020-04-30,323,1,1,1,1,1,60461828
"Italy",2020-05-01,285,1,1,1,1,1,60461828
"Italy",2020-05-02,269,1,1,1,1,1,60461828
"Italy",2020-05-03,474,1,1,1,1,1,60461828
"Italy",2020-05-04,174,1,1,1,1,1,60461828
"Italy",2020-05-05,195,1,1,1,1,1,60461828
